,resource_type,learner_level,relevant_topic,title,release_date,creator_name,description,pre_processed,sent_clusters
25,book,beginner,classification,Classification Simplified,2019-07-10,Megan Fox,"In-depth book on classification focusing on basic concepts of classifying data into predefined categories. Learn binary classification, understand classification metrics, and explore spam detection.",topic classification machine learn resource type book title classification machine learn simplify description indepth book classification machine learning focus basic concept classify datum predefine category learn binary classification machine learning understand classification machine learn metric explore spam detection,1
26,book,beginner,clustering,Clustering Fundamentals,2021-05-20,Ryan Cooper,"Master clustering through this book: introduction to discovering patterns and grouping similar data without labels. Topics include grouping, centroids, and real-world anomaly detection use cases.",topic cluster machine learn resource type book title cluster machine learning fundamental description master cluster machine learn book introduction discover pattern group similar datum label topic include group centroid realworld anomaly detection use case,1
27,book,beginner,Linear Algebra,Linear Algebra Essentials for ML,2018-09-12,Sophie Martin,"Comprehensive exploration of Linear Algebra including matrices, determinant, and applications in dimensionality reduction. Ideal book covering vector and matrix basics, operations, geometric interpretations.",topic linear algebra mathematics resource type book title linear algebra mathematic essential ml description comprehensive exploration linear algebra mathematic include matrix determinant application dimensionality reduction ideal book cover vector matrix basic operation geometric interpretation,0
28,book,beginner,Probability,Probability Basics Explained,2020-03-05,Lucas Perez,"Comprehensive exploration of Probability including stochastic processes, probability mass functions, and applications in risk assessment. Ideal book covering basic probability concepts, rules, elementary distributions.",topic probability mathematics resource type book title probability mathematics basic explain description comprehensive exploration probability mathematic include stochastic process probability mathematic mass function application risk assessment ideal book cover basic probability mathematic concepts rule elementary distribution,0
29,book,beginner,Statistics,Statistics for Beginners,2021-11-22,Isabella Reed,"In-depth book on Statistics focusing on descriptive statistics, basic probability, simple hypothesis tests. Learn statistical inference, understand confidence intervals, and explore A/B testing.",topic statistic mathematics resource type book title statistic mathematic beginner description indepth book statistic mathematic focus descriptive statistic mathematic basic probability mathematic simple hypothesis test learn statistic inference understand confidence interval explore ab testing,0
30,book,beginner,Neural Network,Neural Networks Made Easy,2019-02-14,Jason Lee,"Complete guide to Neural Network: foundational concepts of artificial neurons and building simple networks. This book covers RNN, practical activation functions skills, and generative models applications.",topic neural network machine learn resource type book title neural network easy description complete guide neural network machine learn foundational concept artificial neuron build simple network book cover rnn practical activation function skill generative model application,1
31,book,beginner,NLP,NLP Basics for Everyone,2022-06-01,Anita Sharma,"In-depth book on NLP focusing on basics of processing and understanding human language using computers. Learn embeddings, understand sentiment analysis, and explore text classification.",topic natural language processing ml application ml application resource type book title natural language processing ml application ml application basic description indepth book natural language processing ml application ml application focus basic processing understand human language computer learn embedding understand sentiment analysis explore text classification machine learning,1
32,book,beginner,Feature Engineering,Feature Engineering Simplified,2020-08-19,Peter Collins,"In-depth book on Feature Engineering focusing on creating new features, selecting relevant features, domain-driven engineering. Learn feature creation, understand interaction terms, and explore interpretability.",topic feature engineering technique resource type book title feature engineering technique simplify description indepth book feature engineering technique focus create new feature select relevant feature domaindriven engineering learn feature creation understand interaction term explore interpretability,3
33,book,beginner,Recommendation system,Recommender Systems for Beginners,2019-12-03,Kiran Joshi,"Complete guide to Recommendation system: fundamentals of suggesting relevant items based on user preferences. This book covers collaborative filtering, practical user-item interactions skills, and product suggestions applications.",topic recommendation system ml application resource type book title recommendation system ml application beginner description complete guide recommendation system ml application fundamental suggest relevant item base user preference book cover collaborative filter practical useritem interaction skill product suggestion application,2
34,book,beginner,Data Processing,Data Processing Made Simple,2018-04-25,Oliver Scott,"Data Processing essentials delivered through this book: essential steps for preparing raw data for analysis and modeling. Includes data preprocessing, encoding fundamentals, and data pipelines.",topic datum processing engineering technique resource type book title datum processing engineering technique simple description datum processing engineering technique essential deliver book essential step prepare raw datum analysis modeling include datum preprocesse engineering technique encoding fundamental datum pipeline,3
35,book,beginner,Python,Python Basics for ML,2021-09-14,Emma Watson,"Python essentials delivered through this book: core Python syntax, basic programming constructs, fundamental concepts. Includes Python programming, algorithms fundamentals, and automation.",topic python programming engineering technique resource type book title python programming engineering technique basic ml description python programming engineering technique essential deliver book core python programming engineering technique syntax basic programming construct fundamental concept include python programming engineering technique programming algorithm fundamental automation,3
36,book,beginner,regression,Regression Learning Guide,2020-02-28,Victor Adams,"Comprehensive exploration of regression including linear regression, least squares, and applications in numerical forecasting. Ideal book covering fundamentals and core principles of predicting continuous numerical values.",topic regression machine learn resource type book title regression machine learning learn guide description comprehensive exploration regression machine learning include linear regression machine learn square application numerical forecasting ideal book covering fundamental core principle predict continuous numerical value,0
37,book,beginner,classification,Intro to Classification Models,2019-10-09,Natalie Green,"Comprehensive exploration of classification including categorical prediction, logistic regression, and applications in spam detection. Ideal book covering basic concepts of classifying data into predefined categories.",topic classification machine learn resource type book title intro classification machine learning model description comprehensive exploration classification machine learning include categorical prediction logistic regression machine learning application spam detection ideal book cover basic concept classify datum predefine category,1
38,book,beginner,clustering,Clustering Methods Explained,2021-03-17,Kevin Zhao,"clustering essentials delivered through this book: introduction to discovering patterns and grouping similar data without labels. Includes grouping, silhouette coefficient fundamentals, and document clustering.",topic cluster machine learn resource type book title cluster machine learning method explain description cluster machine learning essential deliver book introduction discover pattern group similar datum label include group silhouette coefficient fundamental document cluster machine learning,1
39,book,beginner,Linear Algebra,Linear Algebra Basics,2018-12-11,Grace Liu,"Comprehensive exploration of Linear Algebra including matrices, QR factorization, and applications in computer graphics. Ideal book covering vector and matrix basics, operations, geometric interpretations.",topic linear algebra mathematics resource type book title linear algebra mathematic basic description comprehensive exploration linear algebra mathematic include matrix qr factorization application computer graphic ideal book cover vector matrix basic operation geometric interpretation,0
40,book,beginner,Probability,Understanding Probability,2022-01-06,Daniel Foster,"In-depth book on Probability focusing on basic probability concepts, rules, elementary distributions. Learn Bayes theorem, understand independence, and explore Bayesian inference.",topic probability mathematics resource type book title understand probability mathematics description indepth book probability mathematic focus basic probability mathematic concepts rule elementary distribution learn bayes theorem understand independence explore bayesian inference,0
41,book,beginner,Statistics,Statistics Fundamentals,2020-06-23,Sophia Allen,"In-depth book on Statistics focusing on descriptive statistics, basic probability, simple hypothesis tests. Learn sampling, understand regression analysis, and explore experimental design.",topic statistic mathematics resource type book title statistic mathematic fundamental description indepth book statistic mathematic focus descriptive statistic mathematic basic probability mathematic simple hypothesis test learn sampling understand regression machine learn analysis explore experimental design,0
42,book,beginner,Neural Network,Intro to Deep Learning,2021-08-30,Brian Young,"Master Neural Network through this book: foundational concepts of artificial neurons and building simple networks. Topics include RNN, weighting, and real-world image recognition use cases.",topic neural network machine learn resource type book title intro deep learning description master neural network machine learn book foundational concept artificial neuron build simple network topic include rnn weighting realworld image recognition use case,1
43,book,beginner,Python,Python for Data Science Beginners,2019-05-27,Arjun Mehta,"Python essentials delivered through this book: core Python syntax, basic programming constructs, fundamental concepts. Includes object-oriented programming, Pandas fundamentals, and web development.",topic python programming engineering technique resource type book title python programming engineering technique datum science beginner description python programming engineering technique essential deliver book core python programming engineering technique syntax basic programming construct fundamental concept include objectoriented programming panda fundamental web development,3
44,book,intermediate,regression,Advanced Regression Techniques,2021-02-11,David Miller,"Detailed book about regression designed for intermediates interested in practical techniques and model selection strategies for regression problems. Focus areas: continuous prediction, R-squared, price prediction.",topic regression machine learn resource type book title advanced regression machine learn technique description detailed book regression machine learning design intermediate interested practical technique model selection strategy regression machine learn problem focus area continuous prediction rsquare price prediction,0
45,book,intermediate,classification,Modern Classification Methods,2020-07-22,Sarah Collins,"classification essentials delivered through this book: algorithms, decision boundaries, thresholds, and cross-validation. Includes binary classification, logistic regression fundamentals, and spam detection.",topic classification machine learn resource type book title modern classification machine learning method description classification machine learning essential deliver book algorithm decision boundary threshold crossvalidation include binary classification machine learn logistic regression machine learning fundamental spam detection,1
46,book,intermediate,clustering,Clustering in Practice,2019-11-03,Michael Grant,"Comprehensive exploration of clustering including grouping, distance metrics, and applications in document clustering. Ideal book covering algorithms, distance calculations, and determining optimal cluster numbers.",topic cluster machine learn resource type book title cluster machine learning practice description comprehensive exploration cluster machine learning include group distance metric application document cluster machine learn ideal book cover algorithm distance calculation determine optimal cluster number,1
47,book,intermediate,Linear Algebra,Linear Algebra for ML Practitioners,2022-03-14,Emily Dawson,"Linear Algebra essentials delivered through this book: decompositions, eigenvalues, applications in machine learning. Includes eigenvalues, SVD fundamentals, and dimensionality reduction.",topic linear algebra mathematics resource type book title linear algebra mathematic ml practitioners description linear algebra mathematic essential deliver book decomposition eigenvalue application machine learning include eigenvalue svd fundamental dimensionality reduction,0
48,book,intermediate,Probability,Applied Probability for Data Science,2021-09-05,Raj Patel,"In-depth book on Probability focusing on multivariate distributions, conditional probability, Bayes theorem. Learn random variables, understand probability mass functions, and explore risk assessment.",topic probability mathematics resource type book title apply probability mathematic datum science description indepth book probability mathematic focus multivariate distribution conditional probability mathematics bayes theorem learn random variable understand probability mathematics mass function explore risk assessment,0
49,book,intermediate,Statistics,Statistical Methods for ML,2020-05-19,Laura Bennett,"Master Statistics through this book: inferential statistics, multiple testing, understanding p-values. Topics include sampling, ANOVA, and real-world experimental design use cases.",topic statistic mathematics resource type book title statistic method ml description master statistic mathematic book inference statistic mathematic multiple testing understanding pvalue topic include sample anova realworld experimental design use case,0
50,book,intermediate,Neural Network,Deep Learning Fundamentals,2022-06-12,Daniel Kim,"Detailed book about Neural Network designed for intermediates interested in architecture design, training procedures, convolutional and recurrent networks. Focus areas: multilayer perceptron, gradient descent, generative models.",topic neural network machine learn resource type book title deep learning fundamental description detailed book neural network machine learning design intermediate interested architecture design training procedure convolutional recurrent network focus area multilayer perceptron gradient descent generative model,1
51,book,intermediate,NLP,Intermediate NLP Techniques,2021-08-21,Sophia Lee,"In-depth book on NLP focusing on tokenization, embeddings, sequence-to-sequence models, language fundamentals. Learn text mining, understand sentiment analysis, and explore machine translation.",topic natural language processing ml application ml application resource type book title intermediate natural language processing ml application ml application technique description indepth book natural language processing ml application ml application focus tokenization embedding sequencetosequence model language fundamental learn text mining understand sentiment analysis explore machine translation,1
52,book,intermediate,Feature Engineering,Feature Engineering for ML,2020-12-11,James Carter,"In-depth book on Feature Engineering focusing on automated selection, transformation techniques, importance analysis. Learn feature selection, understand interaction terms, and explore domain knowledge application.",topic feature engineering technique resource type book title feature engineering technique ml description indepth book feature engineering technique focus automated selection transformation technique importance analysis learn feature selection understand interaction term explore domain knowledge application,3
53,book,intermediate,Recommendation system,Recommendation Systems in Practice,2019-10-02,Ethan Walker,"Recommendation system essentials delivered through this book: collaborative filtering, content similarity, hybrid approaches. Includes recommender systems, user-item interactions fundamentals, and movie recommendations.",topic recommendation system ml application resource type book title recommendation system practice description recommendation system ml application essential deliver book collaborative filtering content similarity hybrid approach include recommendation system ml application useritem interaction fundamental movie recommendation,2
54,book,intermediate,Data Processing,Efficient Data Processing,2021-04-30,Kevin Scott,"Complete guide to Data Processing: handling complex issues, validation, quality checks, automation. This book covers data preprocessing, practical normalization skills, and data pipelines applications.",topic datum processing engineering technique resource type book title efficient datum processing engineering technique description complete guide datum processing engineering technique handle complex issue validation quality check automation book cover datum preprocesse engineering technique practical normalization skill datum pipeline application,3
55,book,intermediate,Python,Python for ML Engineers,2022-01-15,Rachel Adams,"In-depth book on Python focusing on advanced features, decorators, generators, package usage. Learn functional programming, understand best practices, and explore data analysis.",topic python programming engineering technique resource type book title python programming engineering technique ml engineer description indepth book python programming engineering technique focus advanced feature decorator generator package usage learn functional programming understand good practice explore datum analysis,3
56,book,intermediate,regression,Regression Analysis in Depth,2020-06-06,Neha Kapoor,"In-depth book on regression focusing on practical techniques and model selection strategies for regression problems. Learn multiple regression, understand coefficient, and explore numerical forecasting.",topic regression machine learn resource type book title regression machine learn analysis depth description indepth book regression machine learning focus practical technique model selection strategy regression machine learn problem learn multiple regression machine learning understand coefficient explore numerical forecasting,0
57,book,intermediate,classification,Classification Models in Practice,2019-12-25,Mark Johnson,"In-depth book on classification focusing on algorithms, decision boundaries, thresholds, and cross-validation. Learn decision boundaries, understand classification metrics, and explore disease diagnosis.",topic classification machine learn resource type book title classification machine learning model practice description indepth book classification machine learning focus algorithms decision boundary threshold crossvalidation learn decision boundary understand classification machine learn metric explore disease diagnosis,1
58,book,intermediate,clustering,Advanced Clustering Methods,2021-11-18,Amit Shah,"clustering essentials delivered through this book: algorithms, distance calculations, and determining optimal cluster numbers. Includes K-Means, dendrogram fundamentals, and document clustering.",topic cluster machine learn resource type book title advanced clustering machine learning method description cluster machine learning essential deliver book algorithm distance calculation determine optimal cluster number include kmean dendrogram fundamental document cluster machine learning,1
59,book,intermediate,Linear Algebra,Matrix Methods for ML,2022-02-07,Linda Green,"Detailed book about Linear Algebra designed for intermediates interested in decompositions, eigenvalues, applications in machine learning. Focus areas: vectors, QR factorization, computer graphics.",topic linear algebra mathematics resource type book title matrix method ml description detailed book linear algebra mathematic design intermediate interested decomposition eigenvalues application machine learn focus area vector qr factorization computer graphic,0
60,book,intermediate,Probability,Probability in Machine Learning,2021-07-01,Carlos Rivera,"Probability essentials delivered through this book: multivariate distributions, conditional probability, Bayes theorem. Includes Bayes theorem, cumulative distribution fundamentals, and probabilistic modeling.",topic probability mathematics resource type book title probability mathematic machine learn description probability mathematic essential deliver book multivariate distribution conditional probability mathematics bayes theorem include bayes theorem cumulative distribution fundamental probabilistic modeling,0
61,book,intermediate,Statistics,Statistical Learning Techniques,2020-03-13,Emma White,"Complete guide to Statistics: inferential statistics, multiple testing, understanding p-values. This book covers sampling, practical regression analysis skills, and data interpretation applications.",topic statistic mathematics resource type book title statistic learn technique description complete guide statistic mathematic inference statistic mathematic multiple testing understanding pvalue book cover sample practical regression machine learn analysis skill datum interpretation application,0
62,book,intermediate,Neural Network,Deep Learning Architectures,2022-05-22,Tom Harris,"Neural Network essentials delivered through this book: architecture design, training procedures, convolutional and recurrent networks. Includes deep learning, biasing fundamentals, and generative models.",topic neural network machine learn resource type book title deep learning architecture description neural network machine learning essential deliver book architecture design training procedure convolutional recurrent network include deep learning biasing fundamental generative model,1
63,book,intermediate,NLP,Applied NLP Systems,2021-10-10,Priya Nair,"Complete guide to NLP: tokenization, embeddings, sequence-to-sequence models, language fundamentals. This book covers natural language processing, practical attention mechanisms skills, and text classification applications.",topic natural language processing ml application ml application resource type book title apply natural language processing ml application ml application system description complete guide natural language processing ml application ml application tokenization embedding sequencetosequence model language fundamental book cover natural language processing ml application practical attention mechanism skill text classification machine learning application,1
64,book,intermediate,Feature Engineering,Feature Engineering Strategies,2020-08-09,Daniel Brown,"Detailed book about Feature Engineering designed for intermediates interested in automated selection, transformation techniques, importance analysis. Focus areas: feature creation, correlation analysis, interpretability.",topic feature engineering technique resource type book title feature engineering technique strategy description detailed book feature engineering technique design intermediate interested automate selection transformation technique importance analysis focus area feature creation correlation analysis interpretability,3
65,book,intermediate,Recommendation system,Recommender Systems Explained,2019-04-28,Olivia Clark,"In-depth book on Recommendation system focusing on collaborative filtering, content similarity, hybrid approaches. Learn collaborative filtering, understand ranking algorithms, and explore personalization engines.",topic recommendation system ml application resource type book title recommendation system ml application explain description indepth book recommendation system ml application focus collaborative filter content similarity hybrid approach learn collaborative filtering understand ranking algorithm explore personalization engine,2
66,book,intermediate,Python,Advanced Python for ML,2022-09-01,Arjun Mehta,"Python essentials delivered through this book: advanced features, decorators, generators, package usage. Includes functional programming, best practices fundamentals, and automation.",topic python programming engineering technique resource type book title advance python programming engineering technique ml description python programming engineering technique essential deliver book advanced feature decorator generator package usage include functional programming good practice fundamental automation,3
67,book,intermediate,regression,Regression Modeling Techniques,2021-03-12,Aaron Blake,"Master regression through this book: practical techniques and model selection strategies for regression problems. Topics include multiple regression, least squares, and real-world numerical forecasting use cases.",topic regression machine learn resource type book title regression machine learn modeling technique description master regression machine learn book practical technique model selection strategy regression machine learn problem topic include multiple regression machine learn square realworld numerical forecasting use case,0
68,book,intermediate,classification,Practical Classification Systems,2020-06-25,Nina Flores,"Comprehensive exploration of classification including categorical prediction, precision recall, and applications in sentiment analysis. Ideal book covering algorithms, decision boundaries, thresholds, and cross-validation.",topic classification machine learn resource type book title practical classification machine learn system description comprehensive exploration classification machine learning include categorical prediction precision recall application sentiment analysis ideal book cover algorithm decision boundary threshold crossvalidation,1
69,book,intermediate,clustering,Clustering Algorithms in Depth,2019-10-18,Leo Zhang,"Master clustering through this book: algorithms, distance calculations, and determining optimal cluster numbers. Topics include K-Means, dendrogram, and real-world anomaly detection use cases.",topic cluster machine learn resource type book title cluster machine learn algorithm depth description master cluster machine learn book algorithm distance calculation determine optimal cluster number topic include kmeans dendrogram realworld anomaly detection use case,1
70,book,intermediate,Linear Algebra,Linear Algebra for Data Science,2022-01-05,Sophie Grant,"Complete guide to Linear Algebra: decompositions, eigenvalues, applications in machine learning. This book covers decomposition, practical matrix multiplication skills, and dimensionality reduction applications.",topic linear algebra mathematics resource type book title linear algebra mathematic datum science description complete guide linear algebra mathematic decomposition eigenvalue application machine learn book cover decomposition practical matrix multiplication skill dimensionality reduction application,0
71,book,intermediate,Probability,Applied Probability Concepts,2021-07-29,Carlos Mendes,"Probability essentials delivered through this book: multivariate distributions, conditional probability, Bayes theorem. Includes distributions, cumulative distribution fundamentals, and risk assessment.",topic probability mathematics resource type book title apply probability mathematics concept description probability mathematic essential deliver book multivariate distribution conditional probability mathematics bayes theorem include distribution cumulative distribution fundamental risk assessment,0
72,book,intermediate,Statistics,Statistical Thinking for ML,2020-11-09,Emma Blake,"Detailed book about Statistics designed for intermediates interested in inferential statistics, multiple testing, understanding p-values. Focus areas: statistical inference, p-values, data interpretation.",topic statistic mathematics resource type book title statistic thinking ml description detailed book statistic mathematic design intermediate interested inference statistic mathematic multiple testing understanding pvalue focus area statistic inference pvalue data interpretation,0
73,book,intermediate,Neural Network,Deep Learning Systems,2022-04-21,Jason Kim,"Neural Network essentials delivered through this book: architecture design, training procedures, convolutional and recurrent networks. Includes CNN, biasing fundamentals, and sequence modeling.",topic neural network machine learn resource type book title deep learning system description neural network machine learning essential deliver book architecture design training procedure convolutional recurrent network include cnn biasing fundamental sequence modeling,1
